205	P53905	P07260	P39517	Q06819	P47017	P38203	P40070	Q06406	P25644	P49960	P20053	P19735	Q06217	P36048	Q12368	Q12420	gavin													
521	P25644	P53550	P47017	P53130	P39517	P40070	P40070	P53905	Q07418	P47017	P53550	P39517	Q07418	ho		
581	P38203	P53905	P40070	P39517	Q12377	P47093	P25644	P49960	P07244	ho																														
138	P15442	P32357	P15442	P49704	P20053	P19735	P36048	Q12420	Q06078	gavin				
301	P49704	Q06819	P25626	P38203	Q06406	P12687	P36527	P36516	Q06678	P35996	P36517	P22353	P33759	Q03338	P49704	P20053	P19735	P40018	Q06217	P36048	Q12420	P38282	P51998	gavin
302	P20053	Q03338	P49704	P20053	P19735	P36048	Q12368	Q12420	gavin															
306	P33334	P32357	Q03654	Q12309	P38203	Q06406	P32523	Q03338	P49704	P20053	P53131	P19735	P19736	Q04693	P40018	P43321	P36048	Q12420	Q04048	P25337	Q12046	P52868	P53333	P38852	Q06411	gavin																														
404	Q02260	Q08963	P32524	P49704	P39682	P19735	P19736	P40018	Q02260	P43321	P36048	Q03782	gavin																						
406	P40204	Q99177	Q12309	Q02554	Q06819	P49955	Q08963	P40070	Q07508	P32605	Q07350	P32523	P32524	Q03338	P49704	P20053	P33203	Q12417	P19735	P19736	Q04693	P40018	Q02260	Q06217	P43321	Q00916	P36048	Q03782	Q12420	P53207	P34160	Q05900	P47130	Q06411	gavin
407	P54999	Q02554	Q06819	P38241	P49955	Q08963	Q07508	P40567	P32523	P49704	P39682	P20053	P33203	Q03776	P53131	Q12417	P19735	P19736	Q04693	P40018	P43321	Q06091	P36048	P53207	P34160	Q12046	P47130	Q06411	gavin						
416	P38282	Q02554	P49955	Q08963	P40567	Q07350	P32524	Q03338	P49704	Q00723	P20053	P19735	P19736	Q04693	P40018	P36048	Q12368	Q12420	P38282	gavin															
89	P19735	P49704	P32639	ho																
